Atom number: 0 
number of functions: 12
0 0.13975724 2876.8216605 279.9592344302619
0 0.30364767 1004.7443032 127.18964541427866
0 1.00948103 369.7579954 60.096374478263876
0 2.32725359 142.9442404 29.463551033919583
0 3.55056587 57.8366425 14.947287826773351
0 2.46153849 24.3864983 7.821178090123978
0 -0.04355171 10.6622662 4.205302419986137
0 0.07668174 4.8070437 -2.3137617908121966
0 0.7722682 2.221077 1.2966799732646255
0 0.75716529 1.0447795 0.7365098749756717
0 0.18911844 0.4968425 0.42176850477180133
0 0.03608055 0.2371384 0.24219295507675304
